ISBN,Title,Author,List,Weeks on List,Publisher
9780062667632,LEAVE THE WORLD BEHIND,Rumaan Alam,Combined Print and E-Book Fiction,2,Ecco
9780316457422,THE COAST-TO-COAST MURDERS,James Patterson and JD Barker,Combined Print and E-Book Fiction,4,"Little, Brown and Company"
9781982133276,BLACKOUT,Candace Owens,Combined Print and E-Book Nonfiction,5,Threshold Editions
9781982131739,RAGE,Bob Woodward,Combined Print and E-Book Nonfiction,5,Simon & Schuster UK/Canongate Books/Pan
9780593239261,AMERICAN CRISIS,Andrew Cuomo,Combined Print and E-Book Nonfiction,1,Crown
9780393542134,TEN LESSONS FOR A POST-PANDEMIC WORLD,Fareed Zakaria,Combined Print and E-Book Nonfiction,2,W. W. Norton & Company
9781684511341,ONE VOTE AWAY,Ted Cruz,Combined Print and E-Book Nonfiction,3,Regnery Publishing
9780525509288,HOW TO BE AN ANTIRACIST,Ibram X. Kendi,Combined Print and E-Book Nonfiction,24,Bodley Head/Quercus/Two Roads
9781250164681,THE MEANING OF MARIAH CAREY,Mariah Carey with Michaela Angela Davis,Combined Print and E-Book Nonfiction,3,Andy Cohen Books
9781510764699,DISLOYAL,Michael Cohen,Combined Print and E-Book Nonfiction,5,Skyhorse
9781797209463,TRUMPTY DUMPTY WANTED A CROWN,John Lithgow,Combined Print and E-Book Nonfiction,2,Chronicle Prism
9780062868930,THE GUEST LIST,Lucy Foley,Hardcover Fiction,19,William Morrow
9780358126607,THE 99% INVISIBLE CITY,Roman Mars and Kurt Kohlstedt,Hardcover Nonfiction,2,Houghton Mifflin Harcourt
9781982141462,TOO MUCH AND NEVER ENOUGH,Mary L Trump,Hardcover Nonfiction,13,Simon & Schuster
9781538761472,WALK THE WIRE,David Baldacci,Trade Fiction Paperback,2,Grand Central Publishing
9780735224315,LITTLE FIRES EVERYWHERE,Celeste Ng,Trade Fiction Paperback,76,Penguin Books
9781982153380,DANDELION,Gabbie Hanna,Trade Fiction Paperback,1,Atria Books
9780316531238,THE CHAIN,Adrian McKinty,Trade Fiction Paperback,2,Mulholland Books
9781250265692,CILKA'S JOURNEY,Heather Morris,Trade Fiction Paperback,6,Zaffre/Ebury Press
9781538715949,THE 19TH CHRISTMAS,James Patterson and Maxine Paetro,Trade Fiction Paperback,1,Grand Central Publishing
9781476749303,THIS TENDER LAND,William Kent Krueger,Trade Fiction Paperback,16,Atria Books
9780385490818,THE HANDMAID'S TALE,Margaret Atwood,Trade Fiction Paperback,134,Knopf Doubleday Publishing Group
9781250123046,THE RISE OF MAGICKS,Nora Roberts,Trade Fiction Paperback,2,St. Martin's Griffin
9780062292070,LOVECRAFT COUNTRY,Matt Ruff,Trade Fiction Paperback,8,Harper Perennial
9781101971062,HOMEGOING,Yaa Gyasi,Trade Fiction Paperback,11,Vintage
9781592858491,THE GIFTS OF IMPERFECTION,Brené Brown,Advice How-To and Miscellaneous,78,Random House Trade/ Avery
9780802412706,THE FIVE LOVE LANGUAGES,Gary Chapman,Advice How-To and Miscellaneous,324,Northfield Publishing
9780525572640,THE HOME EDIT,Clea Shearer and Joanna Teplin,Advice How-To and Miscellaneous,2,Clarkson Potter
9781982132156,HOW TO LEAD,David M Rubenstein,Advice How-To and Miscellaneous,2,Simon & Schuster
9781601429643,GET OUT OF YOUR HEAD,Jennie Allen,Advice How-To and Miscellaneous,30,WaterBrook
9781544512280,CAN'T HURT ME,David Goggins,Advice How-To and Miscellaneous,14,Lioncrest Publishing
9781419749094,ROWLEY JEFFERSON'S AWESOME FRIENDLY ADVENTURE,Jeff Kinney,Childrens Middle Grade Hardcover,1,Amulet Books
9780375869020,WONDER,R.J. Palacio,Childrens Middle Grade Hardcover,260,Knopf Books for Young Readers
9780316475112,LITTLE LEADERS,Vashti Harrison,Childrens Middle Grade Hardcover,41,"Little, Brown Books for Young Readers"
9780062991317,THE ONE AND ONLY BOB,Katherine Applegate.,Childrens Middle Grade Hardcover,14,HarperCollins
9781419740275,DIARY OF AN AWESOME FRIENDLY KID,Jeff Kinney,Childrens Middle Grade Hardcover,69,"Amulet Books, An Imprint Of Abrams,"
9780545880831,REFUGEE,Alan Gratz,Childrens Middle Grade Hardcover,106,Scholastic Press
9781492670025,THE COMPLETE COOKBOOK FOR YOUNG CHEFS,America's Test Kitchen Kids,Childrens Middle Grade Hardcover,69,Sourcebooks Explore
9781481438285,LOOK BOTH WAYS,Jason Reynolds,Childrens Middle Grade Hardcover,15,Atheneum/Caitlyn Dlouhy Books
9780062895936,A WOLF CALLED WANDER,Rosanne Parry.,Childrens Middle Grade Hardcover,41,Greenwillow Books
9781338214604,WINGS OF FIRE: LEGENDS: DRAGONSLAYER,Tui T. Sutherland,Childrens Middle Grade Hardcover,22,Scholastic Press
